sex,age,friends,postsOnTheWall,weeklyPostActivity,pages,occupation,relation,alcohol,smoking,lifeMain,peopleMain,political,followers,goodUser
1,0,103,153,0.4302768116759066,18,school,0,0,0,0,0,0,18,0
2,31,197,258,0.3757205051515268,44,work,0,0,0,0,0,0,266,0
2,19,95,178,0.14384948871754463,31,unknown,0,0,0,0,0,0,49,0
1,0,39,6014,6.067103021405853,13,unknown,0,0,0,0,0,0,10,0
1,16,99,116,0.20525024826875396,146,work,0,0,0,0,0,0,134,0
1,0,135,542,0.5631636170288735,69,unknown,0,0,0,0,0,0,31,0
2,0,1051,1443,1.785623902364032,60,unknown,0,0,0,0,0,0,114,0
1,0,53,689,0.3042392785585256,31,unknown,0,0,0,0,0,0,50,0
1,15,61,467,0.7947322594431476,60,unknown,0,0,0,0,0,0,14,0
1,0,114,15,0.04008595095984974,29,unknown,0,0,0,0,0,0,6,0
1,44,154,3202,4.559607216846561,235,unknown,2,0,0,0,0,0,102,0
2,0,59,6,0.0068854137649542076,169,unknown,7,0,0,0,0,0,18,0
1,0,32,266,0.1344411075306921,12,university,0,0,0,0,0,0,7,0
2,112,15,4,0.031849469968051,35,unknown,0,0,0,0,0,0,0,0
1,0,34,3873,1.9907928495986105,518,unknown,6,1,1,1,2,0,2,0
1,0,28,261,0.12456615771641925,66,unknown,0,0,0,0,0,0,23,0
1,0,63,302,1.6193891765908,9,unknown,0,0,0,0,0,0,1,0
1,0,107,129,0.0754243063868287,62,unknown,0,0,0,0,0,0,82,0
2,21,12,4,0.022946363539184434,14,unknown,6,0,0,0,0,0,2,0
1,0,190,279,0.332864719895407,39,unknown,0,0,0,0,0,0,77,0
1,0,44,502,0.4355641686650662,36,unknown,0,0,0,0,0,0,9,0
1,0,451,67,0.09428773934443734,215,university,0,0,0,0,0,0,742,0
1,0,94,150,0.1812883280209745,24,unknown,0,0,0,0,0,0,5,0
1,0,46,122,0.25225922392189387,0,unknown,0,0,0,0,0,0,2,0
1,0,57,138,0.1893505618120991,76,unknown,0,0,0,0,0,0,8,0
1,0,18,114,0.5486614206562981,12,unknown,0,0,0,0,0,0,1,0
1,0,43,14,0.2324611555794713,77,unknown,0,0,0,0,0,0,18,0
1,15,110,308,0.8864109437002874,96,school,0,0,0,0,0,0,20,0
1,0,156,5,0.6065856668861795,96,unknown,0,0,0,0,0,0,108,0
1,0,61,4382,6.664243208208386,198,unknown,0,0,0,0,0,0,12,0
1,14,63,8,0.058261903778510364,180,unknown,0,0,0,0,0,0,22,0
1,0,145,129,0.10668869667259459,20,unknown,4,0,0,0,0,0,54,0
1,116,1134,923,0.8729146049378163,249,work,0,4,5,2,4,4,493,0
1,39,40,2,0.010136307526184872,63,unknown,0,0,0,0,0,0,39,0
2,0,221,1,0.012116630987582557,54,university,0,0,0,0,0,0,202,0
1,0,70,78,0.09555286567357307,12,unknown,0,0,0,0,0,0,1,0
1,0,85,223,0.1657384651973997,94,unknown,0,0,0,0,0,0,92,0
2,22,138,6,0.029487420577646282,5,university,7,2,4,6,5,1,0,0
1,0,345,352,0.10627731046585706,167,university,0,0,0,0,0,0,45,0
1,15,47,66,0.03698654198773878,11,unknown,0,0,0,0,0,0,10,0
1,0,22,51,0.390298551287669,16,unknown,0,0,0,0,0,0,0,0
2,0,25,13,0.044802860235020364,26,unknown,0,0,0,0,0,0,52,0
1,0,187,36,0.9862119302980513,157,school,0,2,2,1,6,0,214,0
1,0,4,1416,0.9544332888129703,58,unknown,0,0,0,0,0,0,23,0
1,14,2,22,0.04990545321571175,16,unknown,0,0,0,0,0,0,2,0
1,0,66,307,2.0410506276710842,154,unknown,0,0,0,0,0,0,29,0
2,14,65,84,0.47536758688135844,57,school,0,0,0,0,0,0,5,0
1,0,102,1552,1.195393481726507,22,school,1,0,0,0,0,0,34,0
1,29,159,80,0.29657903039510275,85,unknown,0,2,2,1,2,3,2,0
2,0,64,7,0.0039696817916071835,16,school,0,0,0,0,0,0,25,0
2,16,97,556,0.39365849455274127,64,work,0,0,0,0,0,0,43,0
2,0,57,13,0.020416001106302966,86,unknown,0,1,1,0,0,0,21,0
1,32,0,18,0.0547634693150795,11,unknown,1,0,0,0,0,0,4,0
1,21,181,1,0.19346041114815618,113,work,0,0,0,0,0,0,545,0
1,0,221,1410,0.7893213549446424,238,unknown,0,0,0,0,0,0,153,0
1,19,237,222,0.17367582528183725,63,unknown,3,0,0,0,0,0,550,0
1,0,7,1377,1.8077731290672228,31,unknown,0,0,0,0,0,0,2,0
1,0,49,252,0.21005052314762976,9,unknown,0,0,0,0,0,0,8,0
1,0,270,622,0.9370861348068836,146,unknown,0,0,0,0,0,0,253,0
1,15,105,75,0.19207540738215745,73,unknown,0,0,0,0,0,0,0,0
1,28,12,1925,3.467031825109174,38,unknown,0,0,0,0,0,0,35,0
1,0,17,70,0.34371647300978897,2,unknown,0,0,0,0,0,0,4,0
1,0,17,1948,1.3988221025481233,16,school,0,0,0,0,0,0,8,0
1,24,18,15,0.29088284289498456,8,unknown,0,0,0,0,0,0,0,0
1,0,218,416,0.1469215653469556,271,work,0,0,0,0,0,0,155,0
2,0,384,1825,0.5278389997855336,43,university,0,0,0,0,0,0,89,0
2,0,154,7,0.019005511472629234,211,unknown,0,0,0,0,0,0,15,0
1,0,211,0,0,4,university,0,0,0,0,0,0,803,0
2,0,263,0,0,45,university,0,0,0,0,0,0,113,0
1,0,95,220,0.08736296864662185,29,university,0,0,0,0,0,0,13,0
1,30,273,348,0.10401371365353825,203,university,0,0,0,0,0,0,261,0
1,0,37,872,0.47051094591748926,143,unknown,0,0,0,0,0,0,5,0
1,0,143,289,0.14290591348019194,49,unknown,0,0,0,0,2,0,65,0
1,0,32,97,0.08150433062749875,18,unknown,4,2,2,1,2,0,58,0
1,0,66,823,0.3623418008233407,74,university,0,1,1,1,6,6,77,0
1,0,108,15,0.07068932565001453,16,school,0,1,1,1,2,0,13,0
1,0,37,4885,5.997992398342162,180,unknown,0,4,2,0,6,3,19,0
1,0,380,18047,16.48605734860401,944,work,0,0,0,0,0,0,26,0
2,0,114,39,0.06659196414278853,77,unknown,0,0,0,0,0,0,65,0
1,0,36,7,0.04750895348961433,176,unknown,7,0,0,0,0,0,51,0
1,22,128,175,0.19527886480572967,122,work,0,0,0,0,0,0,243,0
1,0,82,468,0.17841083392941198,2,work,1,0,4,0,2,0,36,0
1,0,1079,27,0.4562767092920024,52,unknown,4,4,2,1,2,3,183,0
1,0,1,9,0.003969311140242307,1,university,4,0,0,0,0,7,3,0
1,116,162,149,0.1026119465442261,842,unknown,2,1,1,0,2,0,497,0
2,0,29,72,0.22072209634046894,11,unknown,0,0,0,0,0,0,1,0
1,0,51,2442,2.3498207214359286,270,unknown,0,0,0,0,0,0,27,0
1,0,49,169,0.18027919718370544,378,school,0,2,2,1,2,0,149,0
1,0,947,155,0.21819152980220624,800,unknown,4,2,2,0,6,0,302,0
1,0,108,449,1.7936552110095707,26,unknown,0,0,0,0,0,0,5,0
1,17,414,158,1.34616399175017,24,unknown,7,0,0,0,0,0,0,0
1,22,385,240,0.09720052822412056,110,university,0,0,0,0,0,0,287,0
1,14,43,1777,2.99532179963955,552,work,0,0,0,0,0,0,7,0
1,0,73,35,0.01334251643204362,4,unknown,0,0,0,0,0,0,31,0
2,0,1083,155,0.1041971980523807,154,unknown,1,4,4,6,1,0,234,0
1,0,4,35,0.04353805684008501,0,unknown,0,0,0,0,0,0,3,0
1,0,29,162,0.8978254059034485,11,unknown,0,0,0,0,0,0,2,0
1,0,8,123,0.4831126946552476,8,unknown,0,0,0,0,0,0,0,0
1,0,5,5418,2.5565582042881347,223,university,0,0,0,0,0,0,39,0
