sex,age,friends,postsOnTheWall,weeklyPostActivity,pages,occupation,relation,alcohol,smoking,lifeMain,peopleMain,political,followers,goodUser
1,0,763,1359,0.6664142353122028,105,work,0,0,0,0,0,0,305,1
1,0,49,2539,0.6934437162111331,213,work,0,0,0,5,5,0,2,1
1,0,86,723,0.3326359929554901,27,university,0,0,0,0,0,0,49,1
2,0,2707,3188,0.8493837390758252,148,work,0,0,0,0,0,0,1153,1
1,0,222,917,0.26164917466070176,17,university,0,0,0,0,0,0,64,1
2,0,58,191,0.05301919434978548,12,university,0,0,0,0,0,0,3,1
1,0,57,454,0.13300621324316353,14,university,0,0,0,0,0,0,266,1
2,0,116,383,0.12158401494121869,49,university,0,2,1,6,2,3,59,1
2,48,429,27978,7.701890299014958,234,work,7,2,2,1,5,8,358,1
1,0,260,3486,2.506941168938362,79,university,4,0,0,0,0,0,222,1
1,27,345,408,0.11497692447647014,126,work,0,0,0,0,0,0,202,1
1,42,555,50294,14.113823982711855,85,university,0,0,0,0,0,3,419,1
1,0,244,30,0.018905037168382526,273,work,0,0,0,0,0,0,688,1
1,35,372,499,0.18303717686653706,355,university,4,4,3,1,1,0,6782,1
1,34,196,2867,0.842680910709005,207,unknown,0,0,0,0,0,0,270,1
1,0,350,1294,0.6303989756061754,234,university,0,0,0,0,0,0,332,1
1,26,797,1704,0.5389917943396256,111,university,0,0,0,0,0,0,564,1
1,0,1229,271,0.09696908895763423,369,unknown,0,0,0,0,0,0,5017,1
1,0,546,8698,2.4777092623273433,411,work,0,0,0,0,0,0,780,1
1,0,107,3343,0.9568560249533274,39,work,4,0,0,0,0,0,406,1
1,25,57,855,0.32737125192222927,96,unknown,0,0,0,0,0,0,216,1
1,0,730,2778,1.2631036454512559,832,university,0,0,0,0,0,0,144,1
1,24,183,54,0.03879888478819352,112,unknown,4,0,0,0,0,0,269,1
1,0,243,881,0.5621487276660732,140,university,0,0,0,0,0,0,280,1
1,24,69,11620,3.3795899947321146,111,work,1,3,4,3,6,0,5281,1
1,0,918,838,0.44470063965517126,603,university,0,0,0,0,0,0,1523,1
1,43,50,221,0.13026209837447647,4,work,0,0,0,0,0,0,18,1
1,33,1783,517,0.15040769459431536,245,university,4,0,0,0,0,3,865,1
2,0,35,45,0.10222053607414776,6,university,0,0,0,0,0,0,1,1
2,0,115,25,0.015671961126745224,48,university,0,0,0,0,0,0,74,1
1,0,39,253,0.17561570843113428,2,university,0,0,0,0,0,0,17,1
1,0,47,3863,1.8635925531140143,107,university,0,0,0,0,0,0,33,1
1,0,171,222,0.07364987157925687,79,university,0,0,0,0,0,0,90,1
1,31,155,1159,0.3531179686903803,131,university,0,0,0,0,0,0,409,1
2,0,171,500,0.15405264968257362,242,work,0,0,0,0,0,0,808,1
2,23,50,119,0.062265075244596436,16,university,1,1,1,6,1,3,100,1
2,0,139,359,0.16301886449742228,48,university,0,0,0,0,0,0,13,1
1,31,587,1462,0.46137175763304067,513,work,0,0,0,0,0,0,38,1
1,33,514,563,2.401579724733084,416,unknown,0,0,0,0,0,0,44,1
2,23,125,827,0.25295926043827344,22,university,1,2,1,6,2,3,143,1
1,23,209,745,0.22981251489592505,227,university,0,0,0,0,0,0,233,1
1,0,118,224,0.10047489463935162,28,unknown,0,0,0,0,0,8,47,1
1,30,348,2099,0.677709559359301,276,work,0,0,0,0,0,0,242,1
1,0,225,608,0.28053533164059336,89,unknown,4,0,0,0,0,0,235,1
1,0,209,616,0.21199763183591777,213,work,0,0,0,0,0,0,367,1
1,30,56,44,0.033143631321251206,25,unknown,0,0,0,0,0,0,87,1
2,0,340,503,0.1559974590970525,56,university,0,0,0,0,0,6,138,1
1,0,128,282,0.14332872601082303,182,university,0,0,0,0,0,0,169,1
2,0,151,247,0.07702930518785628,36,work,4,0,0,6,1,0,105,1
1,0,322,1694,0.5281213250147845,88,university,4,0,0,0,0,0,283,1
1,42,125,153,0.05358569892907162,101,university,4,0,0,0,0,3,8,1
1,20,288,1862,0.588809365388092,483,university,7,3,3,0,2,0,1571,1
2,0,1484,5616,1.7603778499109168,147,university,0,0,0,0,0,0,59,1
1,0,81,1298,0.6093224423350743,280,unknown,0,0,0,0,0,0,31,1
2,25,476,13572,4.441839894118658,149,work,0,0,0,0,0,0,192,1
1,0,388,30245,12.1458851522126,728,university,0,0,0,0,0,0,44,1
1,0,1382,5843,1.849877685916738,314,unknown,0,0,0,0,0,0,524,1
1,0,92,7408,2.9359459669893413,50,university,0,0,0,0,0,0,187,1
2,0,235,8,0.027069523206300433,77,unknown,0,0,0,0,0,0,129,1
1,0,100,2,1.4596443806225452,276,university,0,0,0,0,0,0,453,1
1,0,1332,3249,1.4804270576742695,430,university,0,0,0,0,0,0,974,1
1,24,579,244,0.08926210148533904,50,university,0,0,0,0,0,0,181,1
2,29,5290,4992,1.6714609321475735,1005,work,0,0,0,0,0,0,180,1
2,0,185,60,0.03824721060968179,64,work,0,0,0,0,0,0,132,1
1,20,197,295,0.22662304552405124,115,university,7,0,0,0,0,0,302,1
1,0,239,1722,0.6213952674501881,64,unknown,0,0,0,0,0,0,237,1
1,34,230,7911,3.1062791020065994,355,work,0,0,0,0,0,0,85,1
1,0,346,1294,0.4645654028751583,238,unknown,0,0,0,0,0,0,35,1
1,0,216,4438,1.416001654164468,464,unknown,0,0,0,0,0,0,203,1
1,26,126,242,0.07957200333532008,100,university,0,0,0,0,0,0,72,1
1,0,1469,5741,1.8429721327554152,378,work,0,0,0,0,0,0,524,1
1,25,776,9061,2.9664026904201863,500,work,0,0,0,0,0,0,66,1
1,0,258,1173,0.3853122471568018,111,university,0,0,0,0,0,0,197,1
1,0,291,17,0.007026506327864553,22,unknown,0,0,0,0,0,0,487,1
1,0,944,1080,0.5635782143246058,36,university,0,0,0,0,0,0,199,1
1,0,32,454,0.564881400409793,21,unknown,0,0,0,0,0,0,284,1
1,0,557,1434,0.4742231510711739,97,work,0,0,0,0,0,0,499,1
1,34,392,526,0.2747064367517057,338,university,0,0,0,0,0,0,134,1
1,22,136,2997,0.9793433398761872,220,work,0,0,0,0,0,0,360,1
1,58,17,8872,5.32356019060373,38,university,0,0,0,0,0,0,21,1
2,0,150,26639,8.758303410459838,363,work,0,4,4,3,6,1,52,1
1,0,240,825,0.3379234571321861,100,university,0,0,0,0,0,0,149,1
2,0,170,13,0.020652831365825686,181,work,0,0,0,0,0,0,46,1
2,0,0,0,0,116,unknown,0,0,0,0,0,0,16,1
2,0,681,2029,0.7093769433393858,402,work,0,0,0,0,0,0,37,1
1,0,99,3323,1.278370104831868,115,unknown,0,0,0,0,0,0,286,1
1,0,672,3608,1.2551843801499762,354,university,0,0,0,0,0,0,126,1
1,116,258,1125,0.4800414921789512,159,unknown,0,0,0,0,0,0,49,1
2,23,139,11839,4.744695625446347,254,university,0,0,0,0,0,0,65,1
1,26,7,485,0.1653771323207441,54,unknown,0,0,0,0,0,0,10,1
1,0,174,26880,12.01891139092209,346,university,0,0,0,0,0,0,56,1
1,23,400,11,0.006480678423929284,258,work,0,0,0,0,0,0,344,1
1,0,783,1531,0.5276962648238797,27,work,0,0,0,0,0,4,31,1
1,59,136,3140,1.4183365503681165,67,unknown,0,0,0,0,0,0,43,1
1,30,227,431,0.15613658816858716,139,university,0,0,0,0,0,0,164,1
2,22,79,2,0.02211984681494047,21,unknown,0,0,0,0,0,0,76,1
2,24,666,337,0.11856363218494917,335,university,1,0,0,0,0,7,850,1
1,20,384,2760,1.0919054186383343,519,university,0,0,0,0,0,0,578,1
1,0,20,73,0.03783834851830638,149,unknown,0,0,0,0,0,0,103,1
1,28,151,735,0.29983696365101475,357,unknown,0,0,0,0,0,0,433,1
1,24,1111,12491,4.443018964277943,407,work,0,0,0,0,0,0,1111,1
1,30,682,1346,0.4862271086539251,82,university,0,0,0,0,0,0,289,1
2,31,160,1515,0.6014117213892937,354,university,0,0,0,0,0,0,34,1
2,0,529,7,0.01945105883002975,921,work,1,0,0,0,0,4,67,1
1,21,258,1787,0.6397634801746366,106,university,0,0,0,0,0,0,784,1
1,0,10,14043,5.728276830379284,100,unknown,0,5,1,6,2,0,73,1
1,0,331,4562,1.7374401192435958,272,university,0,0,0,0,0,0,235,1
1,29,339,2780,0.9856514408676845,248,work,4,5,5,8,1,0,458,1
1,0,80,4325,1.5841300689825308,112,university,4,0,0,0,0,3,7,1
1,0,129,1740,0.6249177549731553,163,work,0,0,0,0,0,0,12,1
1,0,915,1074,0.42732821440181495,159,unknown,0,0,0,0,0,0,216,1
1,46,40,71,0.060097849456297855,19,university,0,0,0,0,0,0,12,1
1,0,74,3534,1.3988039312352587,263,unknown,0,0,0,0,0,0,175,1
1,0,62,80,0.06875142088259159,108,university,0,0,0,0,0,0,148,1
1,19,7,1846,0.8959868016229336,27,unknown,0,0,0,0,0,0,4,1
1,0,347,264,0.10478777347343564,478,work,0,0,0,0,0,0,122,1
2,28,265,167,0.09454449163995339,83,work,0,0,0,0,0,0,111,1
1,0,77,3543,1.2985590078928275,119,university,0,0,0,0,0,0,30,1
1,0,17,1877,0.6745534076623145,99,university,0,0,0,0,0,0,1,1
1,25,191,1140,0.4213700803499815,219,university,0,0,0,0,0,0,171,1
1,20,289,136,0.09740349039452742,82,university,0,0,0,0,0,0,127,1
1,27,65,6020,2.333854469953353,142,university,0,0,0,0,0,0,71,1
1,29,170,11148,4.5257852381677734,90,unknown,0,0,0,0,0,0,90,1
1,0,146,933,0.37737129810283043,87,university,0,0,0,0,0,0,741,1
1,0,154,2649,1.139702678372702,185,university,0,0,0,0,0,0,308,1
